1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240719" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 9.9999999999700506E+001 6.3176165013113001E+000 2.8914814439678111E+000 3.8952928215702327E+000 6.8001395690495228E+000 -2.2357428393764875E+000 1.2950066540467024E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165400922769601E+001 8.5000496627254163E-001 3.4231320225656539E+001 4.1293822524870761E-004 2.1764852958983347E+007 1.4503793029298140E+002 4.8126413556384138E+005 -4.2105511725333153E+000 -1.0192924956175219E+001 -7.3177199161482278E+001 -4.2105507202502768E+000 -7.3177199161482278E+001 -1.9566949718158774E+001 -5.6084189311135129E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9948718876411468E-005
2 2.2000000000000003E-005 9.9999999999330214E+001 6.3109666948707126E+000 2.8908670148458819E+000 3.8939375845210500E+000 6.8001396501283535E+000 -2.2357426233550011E+000 1.2950066849780882E+001 6.9999999999999996E-001 2.9797635251138625E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165400699018972E+001 8.5000496627254141E-001 3.4231320190806564E+001 4.1293829431107259E-004 2.1718713368440799E+007 1.4748431290693287E+002 4.8868983449692890E+005 -4.2105504685797870E+000 -1.0192922720076499E+001 -7.3177193326386302E+001 -4.2105500162951524E+000 -7.3177193326386302E+001 -9.8999999999999986E+001 -5.6084182271593548E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.0856937571826143E-005
3 3.6400000000000004E-005 9.9999999998895476E+001 6.3085195246189585E+000 2.8903978305138831E+000 3.8935603841241111E+000 6.8001398347020654E+000 -2.2357421329595493E+000 1.2950067553169905E+001 6.9999999999999996E-001 2.9797635251138628E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165400192868322E+001 8.5000496627254163E-001 3.4231320133191659E+001 4.1293845107077574E-004 2.1683546580627996E+007 1.4847802559950884E+002 4.9145128547428938E+005 -4.2105488786580603E+000 -1.0192917627995877E+001 -7.3177180041179781E+001 -4.2105484263697779E+000 -7.3177180041179781E+001 -9.8999999999999986E+001 -5.6084166372361874E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.0189831672981976E-005
4 5.3680000000000001E-005 9.9999999998378215E+001 6.3073029715509303E+000 2.8899949128643465E+000 3.8934577046818726E+000 6.8001399462881142E+000 -2.2357418355752783E+000 1.2950067978912825E+001 6.9999999999999996E-001 2.9797635251138635E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399884737869E+001 8.5000496627254141E-001 3.4231320083941725E+001 4.1293854614617647E-004 2.1653392131237559E+007 1.4903272916579635E+002 4.9282987711294933E+005 -4.2105479228260325E+000 -1.0192914550628744E+001 -7.3177172010642821E+001 -4.2105474705355412E+000 -7.3177172010642821E+001 -1.9867979713822756E+001 -5.6084156814032848E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9933936653052926E-005
5 7.4416000000000000E-005 9.9999999997760327E+001 6.3066221046813533E+000 2.8896299432057098E+000 3.8934699727937967E+000 6.8001399587943441E+000 -2.2357418002493721E+000 1.2950068027728191E+001 6.9999999999999996E-001 2.9797635251138635E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399845529890E+001 8.5000496627254141E-001 3.4231320046811121E+001 4.1293855746974220E-004 2.1626113916093390E+007 1.4939205146562523E+002 4.9360311904200347E+005 -4.2105478137811705E+000 -1.0192914208150045E+001 -7.3177171113188408E+001 -4.2105473614904367E+000 -7.3177171113188408E+001 -9.8999999999999986E+001 -5.6084155723583251E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9797775487890347E-005
6 9.9299199999999986E-005 9.9999999997020950E+001 6.3062461209314131E+000 2.8892870129139303E+000 3.8935474420022014E+000 6.8001399738263677E+000 -2.2357417577932335E+000 1.2950068086400091E+001 6.9999999999999996E-001 2.9797635251138642E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399798413421E+001 8.5000496627254141E-001 3.4231320002248800E+001 4.1293857107881012E-004 2.1600514261276323E+007 1.4963955399908306E+002 4.9403063335648749E+005 -4.2105476827105868E+000 -1.0192913796497855E+001 -7.3177170034475253E+001 -4.2105472304195608E+000 -7.3177170034475253E+001 -1.9566949718158774E+001 -5.6084154412876241E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9713843304380813E-005
7 1.2915903999999998E-004 9.9999999996135315E+001 6.3060526648592301E+000 2.8889519585972017E+000 3.8936666051425197E+000 6.8001399918872210E+000 -2.2357417067864569E+000 1.2950068156891726E+001 6.9999999999999996E-001 2.9797635251138645E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399741812550E+001 8.5000496627254141E-001 3.4231319948770221E+001 4.1293858742868481E-004 2.1575531813508224E+007 1.4982176722548076E+002 4.9425074785854289E+005 -4.2105475252278453E+000 -1.0192913301896033E+001 -7.3177168738404347E+001 -4.2105470729364676E+000 -7.3177168738404347E+001 -9.8999999999999986E+001 -5.6084152838047414E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9659503395312676E-005
8 1.6499084799999998E-004 9.9999999995073907E+001 6.3059523419031054E+000 2.8886108082041351E+000 3.8938120996000225E+000 6.8001400135804317E+000 -2.2357416455248265E+000 1.2950068241558544E+001 6.9999999999999996E-001 2.9797635251138652E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399673836465E+001 8.5000496627254163E-001 3.4231319884591564E+001 4.1293860706562375E-004 2.1550124514799178E+007 1.4997414297039808E+002 4.9436493402347463E+005 -4.2105473360703964E+000 -1.0192912707816753E+001 -7.3177167181666107E+001 -4.2105468837785969E+000 -7.3177167181666107E+001 -9.8999999999999986E+001 -5.6084150946471238E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9622515399315818E-005
9 2.0798901759999997E-004 9.9999999993801424E+001 6.3058705426473800E+000 2.8882489287455528E+000 3.8939725895153816E+000 6.8001400396250320E+000 -2.2357415719770399E+000 1.2950068343207287E+001 6.9999999999999996E-001 2.9797635251138655E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.0165399592230312E+001 8.5000496627254163E-001 3.4231319807573847E+001 4.1293863064075019E-004 2.1523206112469062E+007 1.5012743603925784E+002 4.9445805629686249E+005 -4.2105471089688891E+000 -1.0192911994569679E+001 -7.3177165312662197E+001 -4.2105466566765841E+000 -7.3177165312662197E+001 -1.9867979713822756E+001 -5.6084148675454131E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -2.9593791785708107E-005
